,resent,pslave1860,cottonsuit,coarea00,rugged,latitude,longitude,water1860,state.abb,sample.size
1,4.103521352,0.573929147,0.442455,0.15025703,39.42146301,32.53492612,-86.64273472,1,AL,12.52437207
2,4.052223264,0.493227092,0.35217069,0.40982549,22.69927979,30.72758162,-87.72258108,1,AL,76.33688183
3,3.760492166,0.524146436,0.519124242,0.223191925,28.96060181,31.86956488,-85.39327808,1,AL,10.68306162
4,5,0.32302001,0.422777273,0.156432638,30.58862686,32.99863036,-87.12640123,0,AL,6.18577675
5,4.368001587,0.061297745,0.384079545,0.164440997,66.45240021,33.98088907,-86.56736195,0,AL,22.83955961
6,NA,0.542222999,0.452218182,0.15489225,25.97491074,32.10045917,-85.71605537,0,AL,0.537151714
7,4.248666402,0.376227789,0.415448485,0.191763098,21.00612831,31.75242409,-86.68027247,0,AL,11.47625402
8,3.670432214,0.201587817,0.377938636,0.154340171,65.05834961,33.77142409,-85.82603128,1,AL,32.83851666
9,5,0.510424744,0.450621053,0.150373236,19.83251762,32.91447023,-85.39237529,0,AL,7.769488258
10,3.868348158,0.163507625,0.382142857,0.151950487,70.12476349,34.17592543,-85.60380164,1,AL,10.00202318
11,3,0.4502652,0.423816071,0.174829545,31.26260376,32.84784042,-86.71886827,0,AL,6.051002427
12,NA,0.511205592,0.352865278,0.227669041,29.94872665,32.01967903,-88.26320121,1,AL,1.593441168
13,5,0.494119211,0.393203333,0.308543314,35.39603806,31.67666735,-87.83082001,1,AL,1.965832793
14,4.264995459,0.293116621,0.393128261,0.151898567,56.04801559,33.26909276,-85.86053325,0,AL,1.898533372
15,5,0.169431378,0.2650675,0.141271386,49.97231293,33.6745549,-85.51873906,0,AL,1.113891153
16,4.046180206,0.147251377,0.456292,0.167151427,20.39150047,31.40260642,-85.98819672,0,AL,17.72231177
17,4.55088896,0.45980366,0.341168182,0.158906121,35.51299667,34.70042537,-87.80495071,1,AL,16.35877959
18,NA,0.431615242,0.412587879,0.209495757,23.42816353,31.42927056,-86.99359987,0,AL,1.871964067
19,NA,0.270430135,0.405423913,0.166405818,43.16832352,32.93623544,-86.2476641,0,AL,1.193942432
20,5,0.12691297,0.427191429,0.255967583,19.53202438,31.24846169,-86.45123394,0,AL,3.703921192
21,5,0.466333307,0.423036364,0.150562788,23.1105175,31.73149132,-86.31356024,0,AL,4.019135354
22,4.232429631,0.056860866,0.386265517,0.191063558,43.93201065,34.1319532,-86.8676435,0,AL,57.37355949
23,4.524772844,0.148315159,0.510176471,0.138262514,22.36021423,31.43180126,-85.61102756,0,AL,20.31147837
24,4.219023253,0.07921532,0.3189,0.197859933,74.30075836,34.45982349,-85.80409419,0,AL,21.42311714
25,4.187387604,0.437914604,0.410156818,0.163498383,41.62656403,32.59662654,-86.14918936,1,AL,32.91604852
26,3.634616391,0.443874304,0.392657813,0.233398759,20.87339973,31.12616017,-87.16157409,0,AL,18.51887834
27,4.461046114,0.152748661,0.390139474,0.138750306,65.40142822,34.04525159,-86.03477578,1,AL,41.31349856
28,NA,0.131305513,0.389225,0.158568346,29.41809464,33.72122153,-87.73886653,0,AL,3.293269494
29,4.5,0.45605841,0.388916667,0.164207418,43.10753632,34.44167784,-87.84376879,0,AL,2.856278652
30,3.39990216,0.14778957,0.456690625,0.141711683,15.71110344,31.09502761,-85.83901122,0,AL,9.758211896
31,NA,0.728425129,0.421708,0.163605187,28.61496544,32.76267401,-87.62910389,1,AL,0.838927486
32,4.201897293,0.297157796,0.469055556,0.139785334,29.20341682,31.51472364,-85.24139676,1,AL,5.694320169
33,4.452461777,0.266064803,0.478811364,0.142471868,NA,31.15320902,-85.30245958,1,AL,50.2250967
34,3.937022662,0.186238582,0.224684524,0.287448711,116.0991364,34.77943276,-85.99936327,1,AL,30.0378026
35,3.965583646,0.229223849,0.388732143,0.282587912,50.0627327,33.55428995,-86.89649999,0,AL,208.4511122
36,5,0.126341785,0.396177778,0.15265139,27.3332634,33.77922729,-88.09692284,0,AL,3.169514419
37,4.153706919,0.38673938,0.343627083,0.183663913,31.53939247,34.90154419,-87.65438781,1,AL,24.53074326
38,3.821165205,0.485724508,0.360629167,0.182598256,37.75320435,34.52197351,-87.31104709,0,AL,7.397952858
39,4.505671743,0.594823288,0.452045455,0.153205306,33.9526825,32.60111607,-85.35549314,0,AL,44.42031839
40,4.394849974,0.528224226,0.333723077,0.15491765,29.42289162,34.8100912,-86.9813246,1,AL,23.84226152
41,3,0.697791889,0.4918,0.17956178,25.54152107,32.15479031,-86.65006948,1,AL,2.946087148
42,5,0.678158346,0.447979545,0.152237564,24.19744873,32.38598772,-85.69266694,0,AL,2.467094713
43,4.317727826,0.550943254,0.289001724,0.207275395,66.36873627,34.76308547,-86.5501831,1,AL,164.0807037
44,4.772692,0.783067595,0.405674324,0.243584068,19.93223572,32.24765043,-87.78947478,1,AL,10.05598785
45,3,0.114737972,0.383482,0.188227533,38.28240585,34.1365726,-87.8871282,0,AL,6.038221306
46,3.575796203,0.15873431,0.305204167,0.158170884,58.04391479,34.36696252,-86.3066384,1,AL,41.2331553
47,4.196305526,0.276579709,0.354370745,0.309900944,25.84174728,30.52131375,-88.17716143,1,AL,83.78362221
48,3.158614861,0.555626476,0.391638571,0.25460035,35.63249588,31.57080827,-87.36544402,1,AL,4.075852022
49,4.363256164,0.660372103,0.462062069,0.198121376,30.70826721,32.22020412,-86.20754597,1,AL,56.36420364
50,4.346435273,0.326951919,0.331552632,0.152202965,53.14039612,34.45345725,-86.85293667,1,AL,42.98980233
51,NA,0.656687347,0.4374,0.180241522,28.42385101,32.63850207,-87.29424161,0,AL,0.65904367
52,5,0.546289658,0.427929688,0.223100054,26.6334877,33.28092401,-88.08865565,1,AL,5.292033378
53,4.598030068,0.359525271,0.44422931,0.165808084,19.42512703,31.80238407,-85.94092059,0,AL,9.778795728
54,5,0.094919986,0.427710417,0.146397073,45.91625977,33.29376606,-85.4591145,0,AL,3.308153851
55,4.061843134,0.582244688,0.538093182,0.16086049,23.65456009,32.28831481,-85.18453214,1,AL,28.39438714
56,3.743631028,0.160537547,0.385344,0.164672009,57.03503799,33.71568743,-86.31469128,1,AL,41.51375698
57,4.064885622,0.287050246,0.400742857,0.202872834,41.26638031,33.26427478,-86.66062993,0,AL,67.14239693
58,4.682206783,0.376913265,0.414812963,0.190795278,48.06397629,33.38005223,-86.16589797,0,AL,19.34379587
59,4.168312486,0.280018466,0.400890741,0.19119353,35.90903473,32.86241345,-85.79751278,0,AL,10.46441453
60,4.164373372,0.437284483,0.414498913,0.338809497,41.31912994,33.2895454,-87.52500516,1,AL,46.22466871
61,4.374620749,0.065037594,0.399646875,0.203059996,31.41915131,33.80334812,-87.29731231,0,AL,7.885935531
62,5,0.534161491,0.355391429,0.267409852,22.5873642,31.40761896,-88.20789275,1,AL,0.970132219
63,3.5,0.722926314,0.425568182,0.224268786,24.24106979,31.9892488,-87.30818046,1,AL,0.419586853
64,3.450329005,0.034116331,0.4023375,0.159975803,31.06945419,34.14921812,-87.37368007,0,AL,9.262660896
96,4.47020545,0.558244301,0.551097222,0.262142887,4.897696018,34.29078871,-91.37493407,1,AR,3.836693567
97,3.297190674,0.462376098,0.470811429,0.235254178,11.59242153,33.19118117,-91.76803214,1,AR,5.262472523
98,4.729218263,0.038349661,0.374259524,0.152459403,53.10002136,36.28721922,-92.33698111,1,AR,36.87736012
99,3.934411511,0.041263701,0.395146774,0.228887284,34.74547195,36.33918766,-94.25733615,0,AR,109.2701891
100,4.053324073,0.035894497,0.410614,0.156417201,85.66042328,36.30859784,-93.09148882,1,AR,52.22716452
101,NA,0.314945102,0.395577273,0.164361685,16.81907272,33.46594124,-92.1623747,1,AR,7.100353623
102,NA,0.239093346,0.401152,0.158983329,20.04133224,33.55800505,-92.50321496,1,AR,1.593441168
103,3.313299514,0.035746315,0.366915909,0.166043795,70.22605133,36.34103725,-93.53817612,0,AR,14.20856892
104,4.176097006,0.242671049,0.414921667,0.223223336,40.34367371,34.05101104,-93.17641368,0,AR,7.676855456
105,3.916337011,0.043847531,0.513064,0.166794129,15.87959194,36.36833988,-90.4173685,0,AR,16.80008745
106,1.778319314,0.061081498,0.458570833,0.152363979,71.40731049,35.53810818,-92.02676311,0,AR,13.41435832
107,NA,0.381218012,0.410162,0.151209652,13.21703625,33.89833053,-92.18523643,0,AR,0.62890788
108,4.404949378,0.289099526,0.495508929,0.192094985,13.98951054,33.21430211,-93.22736732,0,AR,14.35761673
109,4,0.120041962,0.613707143,0.14537154,60.42791748,35.2621891,-92.70133434,1,AR,6.187466805
110,4.293666076,0.218155175,0.646608824,0.184187927,15.27133942,35.83076193,-90.63281664,1,AR,47.82168573
111,4.320990169,0.110852369,0.523893478,0.155619281,132.405014,35.58880725,-94.24297812,1,AR,48.56286629
112,4.306405853,0.47703252,0.425775,0.163108946,3.822715044,35.2079013,-90.3090237,1,AR,15.20834466
113,3.426614141,0.3274491,0.59555,0.159712294,16.68957138,35.29574117,-90.77124873,1,AR,6.202260077
114,NA,0.42182784,0.415754348,0.168794759,22.8866272,33.96978343,-92.65449574,0,AR,2.373363588
115,4.831274796,0.64655144,0.387934483,0.206701567,5.646947861,33.83328158,-91.2539825,1,AR,5.255510952
116,3,0.401264121,0.467106452,0.21023603,15.25058556,33.58943551,-91.72004982,0,AR,1.809797826
117,4.657222798,0.179462205,0.585582692,0.17011587,39.32511902,35.14696865,-92.33205114,1,AR,30.36057719
118,5,0.131816936,0.482959091,0.159447677,141.9221191,35.51230585,-93.89063029,1,AR,9.742846117
