"","X","region","population","sex","age","education","income","statusquo","vote","vote_yes"
"1",1,"N",175000,"M",65,"P",35000,1.0082,"Y",1
"2",2,"N",175000,"M",29,"PS",7500,-1.29617,"N",0
"3",3,"N",175000,"F",38,"P",15000,1.23072,"Y",1
"4",4,"N",175000,"F",49,"P",35000,-1.03163,"N",0
"5",5,"N",175000,"F",23,"S",35000,-1.10496,"N",0
"6",6,"N",175000,"F",28,"P",7500,-1.04685,"N",0
"7",7,"N",175000,"M",26,"PS",35000,-0.78626,"N",0
"8",8,"N",175000,"F",24,"S",15000,-1.11348,"N",0
"9",9,"N",175000,"F",41,"P",15000,-1.01292,"U",NA
"10",10,"N",175000,"M",41,"P",15000,-1.29617,"N",0
"11",11,"N",175000,"M",64,"P",15000,1.36566,"Y",1
"12",12,"N",175000,"M",19,"S",35000,1.02791,"U",NA
"13",14,"N",175000,"F",46,"S",75000,1.50684,"Y",1
"14",16,"N",175000,"M",22,"S",15000,-1.14189,"A",NA
"15",17,"N",175000,"F",20,"PS",15000,-0.85579,"N",0
"16",18,"N",175000,"M",30,"S",35000,-0.90689,"U",NA
"17",19,"N",175000,"M",67,"P",75000,1.32279,"Y",1
"18",20,"N",175000,"F",50,"S",2500,-1.05805,"U",NA
"19",21,"N",175000,"F",38,"S",35000,1.38534,"Y",1
"20",22,"N",175000,"F",55,"PS",35000,1.45602,"Y",1
"21",23,"N",175000,"M",18,"S",75000,1.54808,"Y",1
"22",24,"N",175000,"F",24,"PS",35000,1.61471,"Y",1
"23",25,"N",175000,"M",58,"P",35000,1.52601,"Y",1
"24",26,"N",175000,"F",28,"S",35000,0.55328,"U",NA
"25",27,"N",175000,"F",34,"P",7500,1.33619,"A",NA
"26",29,"N",175000,"M",20,"PS",35000,-0.89281,"N",0
"27",30,"N",175000,"M",53,"PS",35000,-1.29617,"A",NA
"28",31,"N",175000,"F",32,"PS",35000,1.50986,"Y",1
"29",32,"N",175000,"F",37,"PS",200000,0.96525,"Y",1
"30",33,"N",175000,"M",36,"PS",7500,0.15489,"U",NA
"31",34,"N",175000,"M",44,"PS",35000,1.16851,"N",0
"32",35,"N",175000,"M",20,"PS",15000,-1.29617,"N",0
"33",36,"N",175000,"F",36,"P",35000,-0.35147,"Y",1
"34",37,"N",175000,"M",37,"P",7500,1.43203,"Y",1
"35",38,"N",175000,"M",30,"S",35000,0.2636,"A",NA
"36",39,"N",175000,"M",30,"P",15000,0.11067,"Y",1
"37",40,"N",175000,"F",19,"P",15000,0.72102,"A",NA
"38",41,"N",125000,"F",33,"S",35000,1.00232,"A",NA
"39",42,"N",125000,"M",30,"S",15000,-1.1517,"N",0
"40",43,"N",125000,"F",37,"PS",35000,1.40361,"Y",1
"41",44,"N",125000,"M",51,"P",15000,0.52166,"Y",1
"42",45,"N",125000,"F",61,"P",35000,0.79952,"Y",1
"43",46,"N",125000,"F",21,"S",7500,0.53177,"U",NA
"44",47,"N",125000,"F",70,"P",15000,1.48894,"Y",1
"45",48,"N",125000,"M",35,"S",35000,0.49674,"Y",1
"46",49,"N",125000,"M",68,"P",35000,1.32695,"Y",1
"47",50,"N",125000,"F",25,"P",35000,1.54808,"Y",1
"48",51,"N",125000,"F",50,"P",7500,1.33168,"Y",1
"49",52,"N",125000,"F",24,"S",35000,1.03408,"Y",1
"50",53,"N",125000,"M",66,"P",35000,0.87984,"U",NA
"51",54,"N",125000,"M",25,"S",75000,-0.42448,"A",NA
"52",55,"N",125000,"M",40,"S",15000,-1.04016,"N",0
"53",56,"N",125000,"M",34,"PS",125000,-1.10088,"N",0
"54",57,"N",125000,"M",18,"S",35000,-0.37211,"U",NA
"55",58,"N",125000,"F",52,"S",35000,1.24649,"Y",1
"56",59,"N",125000,"F",35,"S",35000,1.59577,"Y",1
"57",60,"N",125000,"M",51,"S",75000,1.34999,"Y",1
"58",61,"N",125000,"M",33,"PS",75000,1.33168,"Y",1
"59",62,"N",125000,"F",36,"S",15000,0.80845,"Y",1
"60",63,"N",125000,"F",24,"S",35000,-0.48981,"U",NA
"61",64,"N",125000,"F",43,"P",15000,1.04409,"Y",1
"62",65,"N",125000,"M",50,"P",15000,-0.83203,"U",NA
"63",66,"N",125000,"F",28,"P",35000,1.5877,"Y",1
"64",67,"N",125000,"F",54,"P",15000,0.90506,"U",NA
"65",68,"N",125000,"M",19,"S",7500,0.52845,"N",0
"66",69,"N",125000,"F",26,"S",35000,1.45329,"Y",1
"67",70,"N",125000,"M",67,"PS",75000,0.23095,"A",NA
"68",71,"N",125000,"M",40,"PS",35000,-0.52639,"N",0
"69",72,"N",125000,"M",19,"PS",35000,-1.10706,"N",0
"70",73,"N",125000,"F",38,"S",75000,1.06142,"Y",1
"71",74,"N",125000,"F",22,"PS",35000,-1.30351,"N",0
"72",75,"N",125000,"M",38,"PS",75000,0.27293,"U",NA
"73",77,"N",125000,"F",36,"S",75000,0.18447,"A",NA
"74",78,"N",125000,"M",38,"PS",35000,-1.29617,"N",0
"75",79,"N",125000,"M",19,"S",35000,-0.02965,"N",0
"76",80,"N",125000,"M",32,"PS",75000,1.48284,"Y",1
"77",81,"N",125000,"M",38,"S",15000,-0.59145,"U",NA
"78",82,"N",125000,"M",54,"P",35000,-1.1921,"N",0
"79",83,"N",125000,"M",48,"P",35000,1.02326,"Y",1
"80",84,"N",125000,"F",30,"S",75000,-0.99223,"N",0
"81",85,"N",125000,"M",23,"PS",35000,-1.10784,"Y",1
"82",86,"N",125000,"F",46,"S",125000,1.5877,"Y",1
"83",87,"N",125000,"F",19,"S",7500,-0.14772,"U",NA
"84",88,"N",125000,"F",54,"P",7500,0.22433,"U",NA
"85",89,"N",125000,"M",23,"S",15000,-1.12468,"N",0
"86",90,"N",125000,"M",68,"P",7500,0.11359,"U",NA
"87",91,"N",125000,"F",44,"S",35000,-1.14579,"N",0
"88",92,"N",125000,"M",65,"P",35000,1.02326,"Y",1
"89",93,"N",125000,"F",24,"P",7500,-1.18567,"N",0
"90",94,"N",125000,"F",19,"S",35000,1.05618,"Y",1
"91",95,"N",125000,"M",21,"PS",15000,-0.7115,"A",NA
"92",96,"N",125000,"F",53,"P",75000,1.59943,"Y",1
"93",97,"N",125000,"F",38,"P",15000,0.28099,"U",NA
"94",99,"N",125000,"M",28,"S",35000,-0.52335,"A",NA
"95",100,"N",125000,"M",57,"S",35000,-0.66752,"N",0
"96",101,"N",250000,"F",50,"P",15000,-0.97742,"Y",1
"97",102,"N",250000,"M",45,"P",2500,0.71898,"N",0
"98",103,"N",250000,"M",19,"PS",15000,0.67533,"U",NA
"99",104,"N",250000,"M",58,"P",15000,1.27496,"U",NA
"100",105,"N",250000,"F",18,"S",125000,0.15214,"N",0
"101",106,"N",250000,"F",67,"S",7500,-1.29617,"N",0
"102",107,"N",250000,"M",30,"S",7500,-0.71641,"N",0
"103",108,"N",250000,"F",23,"P",7500,-1.30366,"N",0
"104",109,"N",250000,"F",34,"P",7500,-0.122,"Y",1
"105",110,"N",250000,"M",46,"P",75000,-1.17441,"N",0
"106",111,"N",250000,"M",66,"P",15000,-0.70463,"U",NA
"107",112,"N",250000,"F",31,"S",7500,0.00744,"U",NA
"108",114,"N",250000,"M",18,"S",15000,-0.71653,"N",0
"109",115,"N",250000,"M",69,"P",7500,1.54808,"Y",1
"110",116,"N",250000,"M",21,"S",35000,-0.78334,"N",0
"111",117,"N",250000,"M",41,"PS",35000,0.25602,"U",NA
"112",119,"N",250000,"F",28,"PS",75000,1.23773,"A",NA
"113",120,"N",250000,"F",34,"P",35000,1.43203,"Y",1
