female,educ,race,minority,hispanic,marstat,faminc,age,given
1,college,1,0,2,1,15.819,55,100
1,highschool,1,0,2,5,41.422,37,50
1,graduate,1,0,2,1,122.869,59,100
0,college,1,0,2,3,108.505,60,700
1,college,1,0,2,5,41.004,44,100
1,college,1,0,2,3,17.012,64,100
1,graduate,1,0,2,3,79.336,63,150
1,college,1,0,1,5,28.003,32,150
1,college,1,0,2,1,126.788,61,200
1,graduate,1,0,2,4,47.052,83,50
1,college,1,0,2,1,105.817,60,2000
1,college,1,0,2,1,80.507,54,150
1,college,1,0,2,5,61.893,60,50
0,graduate,1,0,2,3,149.849,64,1200
1,college,1,0,2,1,47.332,45,25
1,college,1,0,2,4,59.288,80,1200
1,graduate,2,1,2,5,58.782,49,25
0,graduate,1,0,2,1,166.635,74,500
1,college,1,0,1,1,92.728,79,50
0,college,1,0,2,1,93.626,81,600
1,graduate,1,0,2,3,45.909,66,150
0,highschool,1,0,2,1,95.24,59,20
1,college,1,0,2,5,103.087,38,75
0,highschool,1,0,2,3,115.887,59,70
0,college,1,0,2,1,72.972,70,100
1,graduate,1,0,2,5,72.703,57,300
0,graduate,1,0,2,1,86.898,77,100
1,graduate,1,0,2,1,53.467,54,10
0,college,1,0,2,1,39.856,72,100
1,graduate,1,0,2,1,95.117,74,20
0,college,1,0,2,1,86.978,75,150
0,college,1,0,2,1,45.313,26,20
0,college,1,0,2,4,36.563,71,222
1,college,1,0,2,1,54.895,49,100
1,graduate,1,0,2,1,64.172,55,25
1,college,1,0,2,1,114.353,64,200
0,college,1,0,2,3,52.538,44,75
1,college,1,0,2,5,86.698,29,300
0,college,1,0,2,5,36.323,28,100
0,college,1,0,2,1,64.328,65,25
0,college,1,0,2,1,34.55,32,20
1,college,1,0,2,1,98.909,73,25
0,graduate,1,0,2,3,117.669,80,3500
0,college,1,0,2,1,171.959,47,400
1,graduate,1,0,2,1,129.827,46,500
0,graduate,1,0,2,1,317.753,79,500
0,college,1,0,2,1,94.196,58,100
1,college,1,0,2,4,182.624,78,2000
1,college,1,0,2,5,46.121,60,400
1,college,1,0,2,5,74.955,33,125
0,graduate,1,0,2,3,299.292,48,1000
1,college,1,0,2,1,109.94,49,25
0,college,1,0,2,1,111.992,50,100
0,college,2,1,2,1,111.059,67,1000
0,college,1,0,2,1,72.621,71,100
1,college,1,0,2,1,108.237,57,100
1,graduate,1,0,2,5,72.865,30,200
0,college,1,0,2,1,86.791,71,300
1,college,1,0,2,4,55.718,64,20
0,college,1,0,2,1,57.36,65,300
0,highschool,1,0,2,1,135.487,43,70
0,graduate,1,0,2,5,50.157,28,400
0,graduate,1,0,2,5,186.851,32,800
1,college,1,0,2,1,70.899,57,400
0,college,1,0,2,5,65.008,30,50
1,college,1,0,2,1,128.574,60,100
0,college,7,1,2,4,45.717,84,150
1,college,1,0,2,3,38.528,65,50
0,graduate,1,0,2,1,174.844,73,200
0,graduate,1,0,2,4,98.147,70,100
1,college,1,0,2,5,86.898,53,50
1,college,1,0,2,5,89.86,68,80
0,highschool,1,0,2,1,45.137,77,60
1,college,1,0,2,5,56.365,77,1000
0,graduate,1,0,2,1,82.199,64,300
1,graduate,1,0,2,1,175.422,55,100
0,college,5,1,2,4,41.003,82,250
1,college,2,1,2,1,207.57,55,200
0,graduate,1,0,2,5,82.59,56,200
1,highschool,2,1,1,1,61.276,55,1000
0,college,1,0,2,5,57.05,52,1000
1,college,1,0,2,3,109.674,55,75
0,graduate,1,0,2,5,83.642,77,100
0,college,1,0,2,5,54.598,55,5
0,highschool,1,0,2,1,71.973,65,25
1,graduate,1,0,2,4,91.499,80,25
1,college,1,0,2,5,63.721,36,700
0,college,1,0,2,1,42.071,85,40
